FID,UF,Municipio,Faixa_de_r,Produto,Valor,Concluidas,Entregues,Percentual,IF,the_geom
MCMV.6879,MG,Juiz de Fora,Faixa 1,FAR,39808400,948,887,100,Caixa,POINT (-43.339759 -21.759519999999895)
MCMV.6901,MG,Juramento,Faixa 1,Oferta Publica,273000,21,17,100,BANCO BONSUCESSO,POINT (-43.58646 -16.84732)
MCMV.6855,MG,Joaquim Fel�cio,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-44.164273999999864 -17.75802)
MCMV.6831,MG,Jenipapo de Minas,Faixa 1,Oferta Publica,390000,30,19,100,COHAB/MG,POINT (-42.258934 -17.08313)
MCMV.6807,MG,Ja�ba,Faixa 1,Oferta Publica,960000,39,39,81,COHAB/MG,POINT (-43.6688 -15.34322)
MCMV.6794,MG,Jacinto,Faixa 1,Oferta Publica,390000,30,18,100,BANCO BONSUCESSO,POINT (-40.29499 -16.14276)
MCMV.6781,MG,Iturama,Faixa 1,Oferta Publica,960000,60,59,100,COHAB/MG,POINT (-50.19656 -19.727565999999797)
MCMV.6763,MG,Ituiutaba,Faixa 1,FAR,51815700,1328,1175,100,Caixa,POINT (-49.463945 -18.977191)
MCMV.6721,MG,Itaobim,Faixa 1,Oferta Publica,960000,60,48,100,BANCO BONSUCESSO,POINT (-41.50169199999982 -16.557069999999896)
MCMV.6726,MG,Itapagipe,Faixa 1,Oferta Publica,390000,30,28,100,BANCO BONSUCESSO,POINT (-49.37814 -19.90616299999982)
MCMV.6714,MG,Itamonte,Faixa 1,Oferta Publica,338000,26,23,100,COHAB/MG,POINT (-44.868020999999885 -22.285912)
MCMV.6715,MG,Itamonte,Faixa 1,Oferta Publica,52000,4,4,100,COHAB/MG,POINT (-44.868020999999885 -22.285912)
MCMV.6707,MG,Itamogi,Faixa 1,Oferta Publica,390000,30,24,100,BANCO BONSUCESSO,POINT (-47.045962 -21.07582)
MCMV.6701,MG,Itambacuri,Faixa 1,Oferta Publica,960000,60,52,100,COHAB/MG,POINT (-41.68298 -18.03496)
MCMV.6693,MG,Itamarandiba,Faixa 1,Oferta Publica,848000,53,36,100,BANCO BONSUCESSO,POINT (-42.85611999999986 -17.85515699999985)
MCMV.6694,MG,Itamarandiba,Faixa 1,Oferta Publica,112000,7,3,100,BANCO BONSUCESSO,POINT (-42.85611999999986 -17.85515699999985)
MCMV.6647,MG,Ipia�u,Faixa 1,Oferta Publica,390000,30,20,100,BANCO BONSUCESSO,POINT (-49.94361 -18.69272)
MCMV.6636,MG,Ipanema,Faixa 1,Rural,75600,6,6,100,Caixa,POINT (-41.7164489999999 -19.799151999999765)
MCMV.6629,MG,Inimutaba,Faixa 1,Oferta Publica,377000,29,25,100,BANCO BONSUCESSO,POINT (-44.358373 -18.727128)
MCMV.6615,MG,Indaiabira,Faixa 1,Oferta Publica,286000,22,18,100,COHAB/MG,POINT (-42.20051399999983 -15.491056)
MCMV.6616,MG,Indaiabira,Faixa 1,Oferta Publica,104000,8,1,100,COHAB/MG,POINT (-42.20051399999983 -15.491056)
MCMV.6602,MG,Iguatama,Faixa 1,Oferta Publica,377000,29,24,100,BANCO BONSUCESSO,POINT (-45.711114 -20.17763)
MCMV.6592,MG,Igarap�,Faixa 1,FAR,12112000,264,229,100,Caixa,POINT (-44.29945 -20.070671)
MCMV.6585,MG,Ibituruna,Faixa 1,Oferta Publica,351000,27,23,100,BANCO BONSUCESSO,POINT (-44.74791 -21.15414)
MCMV.6534,MG,Guarda-Mor,Faixa 1,Oferta Publica,390000,30,27,100,COHAB/MG,POINT (-47.099756 -17.76731)
MCMV.6500,MG,Governador Valadares,Faixa 1,FAR,19509400,500,500,100,Caixa,POINT (-41.95553 -18.854451999999867)
MCMV.6510,MG,Gr�o Mogol,Faixa 1,Oferta Publica,260000,20,17,100,BANCO BONSUCESSO,POINT (-42.89230599999979 -16.566232)
MCMV.6490,MG,Gouveia,Faixa 1,Oferta Publica,390000,30,28,100,BANCO BONSUCESSO,POINT (-43.742294 -18.45194)
MCMV.6481,MG,Frutal,Faixa 1,FAR,15047900,382,380,100,Caixa,POINT (-48.935496999999884 -20.02587499999987)
MCMV.6470,MG,Fronteira,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-49.19842299999988 -20.27485)
MCMV.6473,MG,Fruta de Leite,Faixa 1,Oferta Publica,273000,21,16,100,COHAB/MG,POINT (-42.52877199999989 -16.122458)
MCMV.6474,MG,Fruta de Leite,Faixa 1,Oferta Publica,117000,9,2,100,COHAB/MG,POINT (-42.52877199999989 -16.122458)
MCMV.6458,MG,Francisco Dumont,Faixa 1,Oferta Publica,390000,30,27,100,COHAB/MG,POINT (-44.23171 -17.310677999999825)
MCMV.6459,MG,Francisco S�,Faixa 1,Oferta Publica,784000,49,40,100,BANCO BONSUCESSO,POINT (-43.489615 -16.482728999999892)
MCMV.6460,MG,Francisco S�,Faixa 1,Oferta Publica,176000,11,7,100,BANCO BONSUCESSO,POINT (-43.489615 -16.482728999999892)
MCMV.6461,MG,Francisc�polis,Faixa 1,Oferta Publica,351000,27,6,100,COHAB/MG,POINT (-42.009382 -17.95776599999988)
MCMV.6464,MG,Frei Inoc�ncio,Faixa 1,Oferta Publica,299000,23,22,100,BANCO BONSUCESSO,POINT (-41.91209 -18.5556)
MCMV.6465,MG,Frei Inoc�ncio,Faixa 1,Oferta Publica,91000,7,7,100,BANCO BONSUCESSO,POINT (-41.91209 -18.5556)
MCMV.6446,MG,Formiga,Faixa 1,FAR,6177700,163,163,100,Caixa,POINT (-45.42679 -20.461818999999878)
MCMV.6449,MG,Formoso,Faixa 1,Oferta Publica,390000,30,30,100,COHAB/MG,POINT (-46.23707499999989 -14.944632999999897)
MCMV.6432,MG,Fervedouro,Faixa 1,Oferta Publica,390000,30,17,100,BANCO BONSUCESSO,POINT (-42.25366 -20.69008699999989)
MCMV.6428,MG,Felixl�ndia,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-44.900376 -18.75067)
MCMV.6420,MG,Fel�cio dos Santos,Faixa 1,Oferta Publica,338000,26,20,100,COHAB/MG,POINT (-43.242206 -18.07555)
MCMV.6421,MG,Fel�cio dos Santos,Faixa 1,Oferta Publica,52000,4,4,100,COHAB/MG,POINT (-43.242206 -18.07555)
MCMV.6422,MG,Felisburgo,Faixa 1,Oferta Publica,364000,28,22,100,COHAB/MG,POINT (-40.7605 -16.63483)
MCMV.6423,MG,Felisburgo,Faixa 1,Oferta Publica,26000,2,1,100,COHAB/MG,POINT (-40.7605 -16.63483)
MCMV.6404,MG,Eugen�polis,Faixa 1,Oferta Publica,325000,25,20,100,BANCO BONSUCESSO,POINT (-42.187834 -21.100152999999864)
MCMV.6405,MG,Eugen�polis,Faixa 1,Oferta Publica,65000,5,3,100,BANCO BONSUCESSO,POINT (-42.187834 -21.100152999999864)
MCMV.6385,MG,Espinosa,Faixa 1,Oferta Publica,960000,60,50,100,COHAB/MG,POINT (-42.80901 -14.92495)
MCMV.6370,MG,Engenheiro Navarro,Faixa 1,Oferta Publica,390000,30,25,100,COHAB/MG,POINT (-43.94697 -17.283128)
MCMV.6368,MG,Engenheiro Caldas,Faixa 1,Oferta Publica,390000,30,18,100,BANCO BONSUCESSO,POINT (-42.050305 -19.206496999999843)
MCMV.6359,MG,Durand�,Faixa 1,Rural,163800,13,13,100,Caixa,POINT (-41.79772 -20.20582)
MCMV.6334,MG,Divis�polis,Faixa 1,Oferta Publica,390000,30,16,100,BANCO BONSUCESSO,POINT (-40.99969 -15.72535)
MCMV.6335,MG,Dom Bosco,Faixa 1,Oferta Publica,390000,30,25,100,COHAB/MG,POINT (-46.259725 -16.65196)
MCMV.6326,MG,Divin�polis,Faixa 1,FAR,17594000,463,463,100,Caixa,POINT (-44.89122 -20.144646)
MCMV.6329,MG,Divisa Alegre,Faixa 1,Oferta Publica,390000,30,23,100,BANCO BONSUCESSO,POINT (-41.34629 -15.72207)
MCMV.6310,MG,Diogo de Vasconcelos,Faixa 1,Rural,1334790,98,98,100,Caixa,POINT (-43.19525 -20.4879)
MCMV.6292,MG,Datas,Faixa 1,Oferta Publica,325000,25,19,100,BANCO BONSUCESSO,POINT (-43.65908499999989 -18.447761)
MCMV.6293,MG,Datas,Faixa 1,Oferta Publica,65000,5,5,100,BANCO BONSUCESSO,POINT (-43.65908499999989 -18.447761)
MCMV.6281,MG,Curral de Dentro,Faixa 1,Oferta Publica,338000,26,15,100,COHAB/MG,POINT (-41.85568399999988 -15.932708999999875)
MCMV.6282,MG,Curral de Dentro,Faixa 1,Oferta Publica,52000,4,1,100,COHAB/MG,POINT (-41.85568399999988 -15.932708999999875)
MCMV.6275,MG,Cruzeiro da Fortaleza,Faixa 1,Oferta Publica,390000,22,22,95,COHAB/MG,POINT (-46.666891 -18.944029)
MCMV.6261,MG,Couto de Magalh�es de Minas,Faixa 1,Oferta Publica,390000,30,18,100,COHAB/MG,POINT (-43.464821 -18.07272)
MCMV.6256,MG,Coronel Xavier Chaves,Faixa 1,Oferta Publica,390000,30,23,100,BANCO BONSUCESSO,POINT (-44.22059999999988 -21.027723999999864)
MCMV.6242,MG,Corinto,Faixa 1,Oferta Publica,960000,60,45,100,COHAB/MG,POINT (-44.454180999999835 -18.36897)
MCMV.6230,MG,Cora��o de Jesus,Faixa 1,Oferta Publica,768000,48,34,100,COHAB/MG,POINT (-44.363517 -16.68407)
MCMV.6231,MG,Cora��o de Jesus,Faixa 1,Oferta Publica,192000,12,8,100,COHAB/MG,POINT (-44.363517 -16.68407)
MCMV.6208,MG,Contagem,Faixa 1,FAR,13248000,288,288,100,Caixa,POINT (-44.0804619999999 -19.915669999999864)
MCMV.6175,MG,Congonhal,Faixa 1,Oferta Publica,390000,30,26,100,BANCO BONSUCESSO,POINT (-46.04303 -22.148752999999886)
MCMV.6154,MG,Concei��o de Ipanema,Faixa 1,Oferta Publica,390000,30,24,100,COHAB/MG,POINT (-41.690756 -19.93258)
MCMV.6123,MG,Chal�,Faixa 1,Rural,63000,5,5,100,Caixa,POINT (-41.68971399999987 -20.04533)
MCMV.6125,MG,Chapada Ga�cha,Faixa 1,Oferta Publica,390000,30,26,100,COHAB/MG,POINT (-45.611615999999856 -15.30137)
MCMV.6126,MG,Chapada Ga�cha,Faixa 1,Oferta Publica,390000,30,25,100,COHAB/MG,POINT (-45.611615999999856 -15.30137)
MCMV.6110,MG,Catuti,Faixa 1,Oferta Publica,390000,30,20,100,COHAB/MG,POINT (-42.962704 -15.36157)
MCMV.6094,MG,Carvalh�polis,Faixa 1,Oferta Publica,260000,20,12,100,COHAB/MG,POINT (-45.84212699999978 -21.77353)
MCMV.6052,MG,Carlos Chagas,Faixa 1,Oferta Publica,960000,60,52,100,COHAB/MG,POINT (-40.772276 -17.697334999999896)
MCMV.6041,MG,Caratinga,Faixa 1,Rural,733200,47,47,100,Caixa,POINT (-42.12922 -19.786805)
MCMV.6042,MG,Carbonita,Faixa 1,Oferta Publica,390000,30,20,100,COHAB/MG,POINT (-43.013688 -17.52549)
MCMV.6043,MG,Carbonita,Faixa 1,Rural,440955,35,35,100,Caixa,POINT (-43.013688 -17.52549)
MCMV.6016,MG,Capin�polis,Faixa 1,Oferta Publica,299000,23,22,100,COHAB/MG,POINT (-49.57062 -18.68622)
MCMV.6017,MG,Capin�polis,Faixa 1,Oferta Publica,91000,7,6,100,COHAB/MG,POINT (-49.57062 -18.68622)
MCMV.5971,MG,Campo Florido,Faixa 1,Oferta Publica,390000,30,24,100,COHAB/MG,POINT (-48.57162 -19.76308)
MCMV.5972,MG,Campo Florido,Faixa 1,Oferta Publica,390000,30,12,100,COHAB/MG,POINT (-48.57162 -19.76308)
MCMV.5960,MG,Campo Belo,Faixa 1,FAR,6044000,160,160,100,Caixa,POINT (-45.26989199999986 -20.89318)
MCMV.5949,MG,Campina Verde,Faixa 1,Oferta Publica,390000,30,27,100,BANCO BONSUCESSO,POINT (-49.48624699999982 -19.53815)
MCMV.5943,MG,Campestre,Faixa 1,Rural,140400,9,9,100,Caixa,POINT (-46.23808 -21.70787)
MCMV.5933,MG,Campan�rio,Faixa 1,Oferta Publica,390000,30,24,100,BANCO BONSUCESSO,POINT (-41.73551 -18.242709999999875)
MCMV.5901,MG,Cachoeira Dourada,Faixa 1,Oferta Publica,390000,30,28,100,BANCO BONSUCESSO,POINT (-49.50387599999988 -18.51615)
MCMV.5894,MG,Cabo Verde,Faixa 1,Rural,468000,30,30,100,Caixa,POINT (-46.39186 -21.469944999999825)
MCMV.5886,MG,Buritizeiro,Faixa 1,Oferta Publica,960000,60,54,100,BANCO BONSUCESSO,POINT (-44.96058099999988 -17.36558799999989)
MCMV.5872,MG,Buen�polis,Faixa 1,Oferta Publica,390000,30,30,100,COHAB/MG,POINT (-44.17750399999983 -17.8744319999999)
MCMV.5851,MG,Brasil�ndia de Minas,Faixa 1,Oferta Publica,312000,24,23,100,BANCO BONSUCESSO,POINT (-46.00811 -16.99986799999988)
MCMV.5852,MG,Brasil�ndia de Minas,Faixa 1,Oferta Publica,78000,6,6,100,BANCO BONSUCESSO,POINT (-46.00811 -16.99986799999988)
MCMV.5846,MG,Botumirim,Faixa 1,Oferta Publica,351000,27,14,100,BANCO BONSUCESSO,POINT (-43.00858 -16.86574)
MCMV.5847,MG,Botumirim,Faixa 1,Oferta Publica,39000,3,2,100,BANCO BONSUCESSO,POINT (-43.00858 -16.86574)
MCMV.5835,MG,Bonfin�polis de Minas,Faixa 1,Entidades,2000000,100,100,100,Caixa,POINT (-45.98386 -16.56803)
MCMV.5836,MG,Bonfin�polis de Minas,Faixa 1,Oferta Publica,377000,29,25,100,BANCO BONSUCESSO,POINT (-45.98386 -16.56803)
MCMV.5837,MG,Bonfin�polis de Minas,Faixa 1,Oferta Publica,13000,1,1,100,BANCO BONSUCESSO,POINT (-45.98386 -16.56803)
MCMV.5816,MG,Bom Despacho,Faixa 1,Oferta Publica,960000,60,50,100,BANCO BONSUCESSO,POINT (-45.262167 -19.738621)
MCMV.5768,MG,Berizal,Faixa 1,Oferta Publica,390000,30,19,100,COHAB/MG,POINT (-41.74320199999988 -15.61003)
MCMV.5715,MG,Barbacena,Faixa 1,FAR,11020000,290,152,95.1,Caixa,POINT (-43.77026599999982 -21.221446)
MCMV.5678,MG,Arinos,Faixa 1,Oferta Publica,702000,54,51,100,COHAB/MG,POINT (-46.10432399999985 -15.918742999999836)
MCMV.5679,MG,Arinos,Faixa 1,Oferta Publica,78000,6,5,100,COHAB/MG,POINT (-46.10432399999985 -15.918742999999836)
MCMV.5670,MG,Arcos,Faixa 1,Rural,171600,10,10,100,Caixa,POINT (-45.53734 -20.286332999999843)
MCMV.5676,MG,Aricanduva,Faixa 1,Oferta Publica,390000,30,24,100,BANCO BONSUCESSO,POINT (-42.553263 -17.8666419999999)
MCMV.5645,MG,Arapor�,Faixa 1,Oferta Publica,390000,30,30,100,BANCO BONSUCESSO,POINT (-49.18474599999979 -18.43573)
MCMV.5634,MG,Araguari,Faixa 1,FAR,17609700,445,441,100,Caixa,POINT (-48.193392 -18.645575)
MCMV.5625,MG,Ara�ua�,Faixa 1,Rural,374894,25,25,100,Caixa,POINT (-42.0637 -16.85232)
MCMV.5603,MG,Alterosa,Faixa 1,Oferta Publica,390000,30,17,100,BANCO BONSUCESSO,POINT (-46.13867 -21.24875)
MCMV.5605,MG,Alto Capara�,Faixa 1,Rural,63000,5,5,100,Caixa,POINT (-41.873772 -20.43098)
MCMV.5591,MG,Almenara,Faixa 1,Oferta Publica,960000,60,59,100,COHAB/MG,POINT (-40.694163 -16.17846)
MCMV.5584,MG,Alfenas,Faixa 1,FAR,9795600,240,240,100,Caixa,POINT (-45.94773 -21.42563)
MCMV.5563,MG,�guas Formosas,Faixa 1,Oferta Publica,390000,30,29,100,BANCO BONSUCESSO,POINT (-40.938355 -17.08021)
MCMV.5550,MG,Abre Campo,Faixa 1,Rural,932400,74,74,99.51,Caixa,POINT (-42.4743 -20.29965)
MCMV.5523,BA,Vit�ria da Conquista,Faixa 1,FAR,68687200,1676,1646,100,Caixa,POINT (-40.84415899999988 -14.861466)
MCMV.4800,BA,Dias d'�vila,Faixa 1,FAR,43983500,974,474,100,Caixa,POINT (-38.292645 -12.61875)
MCMV.5454,BA,Souto Soares,Faixa 1,Oferta Publica,360000,15,15,75,ECONOMISA,POINT (-41.642716999999834 -12.088046)
MCMV.5439,BA,Serrinha,Faixa 1,FAR,36533600,954,904,100,Caixa,POINT (-39.009976 -11.658407)
MCMV.5433,BA,Serra Dourada,Faixa 1,Oferta Publica,360000,30,27,100,FAM-LIA PAULISTA,POINT (-43.95043 -12.759003999999834)
MCMV.5389,BA,Santo Ant�nio de Jesus,Faixa 1,FAR,20467600,500,442,100,Caixa,POINT (-39.2584 -12.961387)
MCMV.5348,BA,Salvador,Faixa 1,FAR,163764000,3612,2600,100,Caixa,POINT (-38.510829999999885 -12.971109999999896)
MCMV.5288,BA,Presidente Tancredo Neves,Faixa 1,Rural,750000,50,50,100,Caixa,POINT (-39.420267 -13.447063999999898)
MCMV.5283,BA,Porto Seguro,Faixa 1,FAR,58033000,1452,456,100,Caixa,POINT (-39.0642509999999 -16.44347)
MCMV.5213,BA,Mucuri,Faixa 1,Oferta Publica,900000,14,14,90,ECONOMISA,POINT (-39.556466999999884 -18.07539)
MCMV.5220,BA,Nilo Pe�anha,Faixa 1,Oferta Publica,360000,9,9,78.9,COBANSA,POINT (-39.10911099999987 -13.603992)
MCMV.5199,BA,Mata de S�o Jo�o,Faixa 1,FAR,28936600,651,644,100,Caixa,POINT (-38.30089799999985 -12.530685)
MCMV.5145,BA,Lauro de Freitas,Faixa 1,FAR,51548400,1131,932,100,Caixa,POINT (-38.321007999999836 -12.8978)
MCMV.5117,BA,Juazeiro,Faixa 1,FAR,101257000,2500,2500,100,Caixa,POINT (-40.503250999999864 -9.41622)
MCMV.5099,BA,Jequi�,Faixa 1,FAR,59833300,1539,539,100,Caixa,POINT (-40.0877 -13.850887999999884)
MCMV.5044,BA,Itapetinga,Faixa 1,FAR,22265600,550,550,100,Caixa,POINT (-40.24823599999985 -15.24753)
MCMV.5000,BA,Itabuna,Faixa 1,FAR,35424000,864,777,100,Caixa,POINT (-39.27805599999982 -14.787573)
MCMV.4988,BA,Itaberaba,Faixa 1,FAR,18497800,500,493,100,Caixa,POINT (-40.3059 -12.524182)
MCMV.4979,BA,Irec�,Faixa 1,FAR,7364030,200,200,100,Caixa,POINT (-41.85346 -11.30332)
MCMV.4965,BA,Ipir�,Faixa 1,FAR,19438000,480,240,100,Caixa,POINT (-39.73594 -12.15606)
MCMV.4939,BA,Igrapi�na,Faixa 1,Oferta Publica,312000,13,13,84.6538,COBANSA,POINT (-39.13612899999987 -13.82954299999983)
MCMV.4928,BA,Ibirapitanga,Faixa 1,Oferta Publica,900000,14,14,61.6667,ECONOMISA,POINT (-39.378737 -14.164898)
MCMV.4936,BA,Ichu,Faixa 1,Oferta Publica,360000,27,15,90.2,BANCO TRICURY,POINT (-39.19052299999987 -11.743065)
MCMV.4922,BA,Ibicu�,Faixa 1,Oferta Publica,24000,1,1,59,COBANSA,POINT (-39.987915 -14.84496)
MCMV.4923,BA,Ibicu�,Faixa 1,Oferta Publica,336000,9,9,59.5,COBANSA,POINT (-39.987915 -14.84496)
MCMV.4894,BA,Gandu,Faixa 1,Oferta Publica,900000,11,11,46.8167,COBANSA,POINT (-39.474651 -13.744100999999887)
MCMV.4844,BA,Feira de Santana,Faixa 1,FAR,144384000,3544,3495,100,Caixa,POINT (-38.966293 -12.266429)
MCMV.4818,BA,Eun�polis,Faixa 1,FAR,61286700,1500,1500,100,Caixa,POINT (-39.58212 -16.3715)
MCMV.4777,BA,Cora��o de Maria,Faixa 1,Oferta Publica,900000,6,6,71,COBANSA,POINT (-38.74865 -12.233332)
MCMV.4708,BA,Cama�ari,Faixa 1,FAR,43823000,1007,511,100,Caixa,POINT (-38.326264999999864 -12.69964)
MCMV.4687,BA,Cairu,Faixa 1,Oferta Publica,360000,30,30,100,ECONOMISA,POINT (-39.04652 -13.490377)
MCMV.4680,BA,Cacul�,Faixa 1,Oferta Publica,900000,25,24,74.75,COBANSA,POINT (-42.22287 -14.50028)
MCMV.4592,BA,Alagoinhas,Faixa 1,FAR,90494000,2306,2158,100,Caixa,POINT (-38.420771999999886 -12.133526)
MCMV.4581,BA,Abar�,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-39.11617799999988 -8.720734)
MCMV.4559,SE,S�o Miguel do Aleixo,Faixa 1,Oferta Publica,288000,24,24,80,BICBANCO,POINT (-37.38356 -10.38466)
MCMV.4542,SE,S�o Crist�v�o,Faixa 1,FAR,15129000,369,369,100,Caixa,POINT (-37.20436 -11.00844)
MCMV.4527,SE,Riach�o do Dantas,Faixa 1,Oferta Publica,324000,16,7,92.9259,BICBANCO,POINT (-37.73098499999986 -11.07290399999988)
MCMV.4530,SE,Ribeir�polis,Faixa 1,Oferta Publica,264000,14,14,51,BICBANCO,POINT (-37.438035 -10.53567)
MCMV.4536,SE,Santa Rosa de Lima,Faixa 1,Oferta Publica,360000,30,27,100,BICBANCO,POINT (-37.193123 -10.64336)
MCMV.4510,SE,Pinh�o,Faixa 1,Oferta Publica,252000,16,11,95.2381,BICBANCO,POINT (-37.72425 -10.56766)
MCMV.4496,SE,Nossa Senhora das Dores,Faixa 1,Oferta Publica,900000,46,46,94,BICBANCO,POINT (-37.19628 -10.48536)
MCMV.4486,SE,Monte Alegre de Sergipe,Faixa 1,Oferta Publica,300000,24,24,84,BICBANCO,POINT (-37.5616 -10.02557)
MCMV.4471,SE,Japoat�,Faixa 1,Oferta Publica,360000,30,30,100,BICBANCO,POINT (-36.804504 -10.34772)
MCMV.4455,SE,Gracho Cardoso,Faixa 1,Oferta Publica,360000,30,30,100,BICBANCO,POINT (-37.200558999999885 -10.22523299999989)
MCMV.4424,SE,Boquim,Faixa 1,Oferta Publica,900000,60,56,100,BICBANCO,POINT (-37.61947 -11.13972)
MCMV.4428,SE,Campo do Brito,Faixa 1,Oferta Publica,336000,19,19,84,BICBANCO,POINT (-37.49536899999987 -10.73925)
MCMV.4431,SE,Canind� de S�o Francisco,Faixa 1,Oferta Publica,900000,60,53,100,BICBANCO,POINT (-37.79229 -9.648823)
MCMV.4412,SE,Arau�,Faixa 1,Oferta Publica,360000,30,26,100,BICBANCO,POINT (-37.62006 -11.261391)
MCMV.4382,SE,Aracaju,Faixa 1,FAR,10397000,281,281,100,Caixa,POINT (-37.07167 -10.91111)
MCMV.4284,AL,Penedo,Faixa 1,FAR,18315000,495,495,100,Caixa,POINT (-36.58190499999989 -10.287421999999822)
MCMV.4094,AL,Arapiraca,Faixa 1,FAR,40146500,1097,615,100,Caixa,POINT (-36.661470999999835 -9.754866)
MCMV.4078,PE,Vit�ria de Santo Ant�o,Faixa 1,FAR,10131700,278,278,100,Caixa,POINT (-35.29762 -8.128191)
MCMV.3921,PE,Petrolina,Faixa 1,FAR,55620000,1396,404,100,Caixa,POINT (-40.50273 -9.388662)
MCMV.3754,PE,Igarassu,Faixa 1,FAR,11963300,302,302,100,Caixa,POINT (-34.90130599999986 -7.82881)
MCMV.3581,PE,Barreiros,Faixa 1,FAR,18450000,450,241,99.32,Caixa,POINT (-35.18317799999983 -8.81605)
MCMV.3582,PE,Barreiros,Faixa 1,FAR,20500000,500,232,100,Caixa,POINT (-35.18317799999983 -8.81605)
MCMV.3514,PB,Uira�na,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-38.412754 -6.51504)
MCMV.3482,PB,Sobrado,Faixa 1,Oferta Publica,348000,29,29,100,FAM-LIA PAULISTA,POINT (-35.23574 -7.144288)
MCMV.3483,PB,Sobrado,Faixa 1,Oferta Publica,12000,1,1,100,FAM-LIA PAULISTA,POINT (-35.23574 -7.144288)
MCMV.3477,PB,Serra Branca,Faixa 1,Oferta Publica,360000,9,9,44,ECONOMISA,POINT (-36.666 -7.480344)
MCMV.3478,PB,Serra Redonda,Faixa 1,Oferta Publica,348000,8,8,34,BANCO LUSO BRASILEIRO,POINT (-35.684194999999875 -7.186216)
MCMV.3480,PB,Serraria,Faixa 1,Oferta Publica,240000,6,6,31,BANCO PAULISTA,POINT (-35.62823 -6.81569)
MCMV.3461,PB,S�o Miguel de Taipu,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-35.20163 -7.24764)
MCMV.3441,PB,S�o Bento,Faixa 1,Oferta Publica,900000,20,20,90,ECONOMISA,POINT (-37.44883 -6.48529)
MCMV.3426,PB,Santar�m,Faixa 1,Oferta Publica,336000,28,28,100,FAM-LIA PAULISTA,POINT (-38.47639 -6.48362)
MCMV.3408,PB,Salgado de S�o F�lix,Faixa 1,Oferta Publica,276000,10,10,63.6957,BANCO LUSO BRASILEIRO,POINT (-35.43048 -7.353375)
MCMV.3389,PB,Quixab�,Faixa 1,Oferta Publica,348000,29,29,100,FAM-LIA PAULISTA,POINT (-37.14583 -7.0224)
MCMV.3390,PB,Quixab�,Faixa 1,Oferta Publica,12000,1,1,100,FAM-LIA PAULISTA,POINT (-37.14583 -7.0224)
MCMV.3372,PB,Po�o Dantas,Faixa 1,Oferta Publica,348000,29,29,100,FAM-LIA PAULISTA,POINT (-38.49090799999988 -6.39876)
MCMV.3373,PB,Po�o Dantas,Faixa 1,Oferta Publica,12000,1,1,100,FAM-LIA PAULISTA,POINT (-38.49090799999988 -6.39876)
MCMV.3362,PB,Pilar,Faixa 1,Oferta Publica,360000,10,3,62.8667,BANCO PAULISTA,POINT (-35.25232599999987 -7.26403)
MCMV.3311,PB,Massaranduba,Faixa 1,Oferta Publica,348000,4,4,23,BANCO LUSO BRASILEIRO,POINT (-35.78477 -7.18995)
MCMV.3313,PB,Mataraca,Faixa 1,Oferta Publica,360000,25,20,97.5667,BANCO LUSO BRASILEIRO,POINT (-35.05308 -6.596729999999866)
MCMV.3315,PB,Matur�ia,Faixa 1,Oferta Publica,288000,24,24,100,FAM-LIA PAULISTA,POINT (-37.35099 -7.26188)
MCMV.3316,PB,Matur�ia,Faixa 1,Oferta Publica,24000,2,2,100,FAM-LIA PAULISTA,POINT (-37.35099 -7.26188)
MCMV.3294,PB,Lastro,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-38.1742 -6.50603)
MCMV.3295,PB,Livramento,Faixa 1,Oferta Publica,360000,6,6,52,BANCO LUSO BRASILEIRO,POINT (-36.94911599999989 -7.37113)
MCMV.3269,PB,Jo�o Pessoa,Faixa 1,FAR,28474900,828,244,100,Caixa,POINT (-34.86306 -7.115)
MCMV.3221,PB,Emas,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-37.716276 -7.09963)
MCMV.3194,PB,Congo,Faixa 1,Oferta Publica,360000,29,29,99.7333,CHB,POINT (-36.658059 -7.79078)
MCMV.3186,PB,Concei��o,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-38.501437 -7.551063)
MCMV.3188,PB,Condado,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-37.606036 -6.89831)
MCMV.3177,PB,Catingueira,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-37.60638 -7.120081)
MCMV.3136,PB,Caapor�,Faixa 1,Oferta Publica,450000,30,30,100,FAM-LIA PAULISTA,POINT (-34.90551399999987 -7.513508)
MCMV.3115,PB,Boa Vista,Faixa 1,Oferta Publica,324000,17,17,67.3846,BANCO TRICURY,POINT (-36.235706 -7.263652999999863)
