FID,UF,Municipio,Faixa_de_r,Produto,Valor,Concluidas,Entregues,Percentual,IF,the_geom
MCMV.9581,SP,Campinas,Faixa 1,FAR,120897000,2380,620,96.94,Caixa,POINT (-47.06595 -22.905346)
MCMV.9508,SP,Ca�apava,Faixa 1,FAR,16800000,400,398,100,Caixa,POINT (-45.707644999999786 -23.0992)
MCMV.9463,SP,Botucatu,Faixa 1,FAR,17823500,407,407,100,Caixa,POINT (-48.44371 -22.88369699999987)
MCMV.9421,SP,Birigui,Faixa 1,FAR,29805500,701,700,100,Caixa,POINT (-50.343162 -21.291034)
MCMV.9397,SP,Bebedouro,Faixa 1,FAR,21966000,523,523,100,Caixa,POINT (-48.47908 -20.94907699999976)
MCMV.9376,SP,Bauru,Faixa 1,FAR,25845600,570,569,100,Caixa,POINT (-49.08714 -22.324569)
MCMV.9337,SP,Barretos,Faixa 1,FAR,44160000,960,420,100,Caixa,POINT (-48.56983 -20.553146)
MCMV.9285,SP,Avar�,Faixa 1,FAR,13902000,331,331,100,Caixa,POINT (-48.92505 -23.106732)
MCMV.9257,SP,Assis,Faixa 1,FAR,35065500,814,814,100,Caixa,POINT (-50.41830699999986 -22.65996)
MCMV.9213,SP,Araraquara,Faixa 1,FAR,32692000,754,754,100,Caixa,POINT (-48.17801399999985 -21.784510999999895)
MCMV.9183,SP,Ara�atuba,Faixa 1,FAR,67647400,1584,1579,100,Caixa,POINT (-50.440106 -21.207647999999836)
MCMV.9170,SP,Apia�,Faixa 1,Rural,411769,20,20,100,Caixa,POINT (-48.84427099999982 -24.51082)
MCMV.9150,SP,Andradina,Faixa 1,FAR,10666800,254,254,100,Caixa,POINT (-51.37857 -20.89476)
MCMV.8869,RJ,Rio de Janeiro,Faixa 1,FAR,476240000,9408,3724,100,Caixa,POINT (-43.2075 -22.90278)
MCMV.8867,RJ,Rio de Janeiro,Faixa 1,FAR,10710000,210,154,98.7,Caixa,POINT (-43.2075 -22.90278)
MCMV.10637,SP,Mar�lia,Faixa 1,FAR,25364900,604,358,100,Caixa,POINT (-49.95006 -22.217108)
MCMV.10564,SP,Lins,Faixa 1,FAR,13247600,288,287,100,Caixa,POINT (-49.752555 -21.67182)
MCMV.8729,RJ,Niter�i,Faixa 1,FAR,4650000,93,93,100,Caixa,POINT (-43.10336699999988 -22.88321)
MCMV.8800,RJ,Queimados,Faixa 1,FAR,72801000,1500,1146,100,Caixa,POINT (-43.55181 -22.710172)
MCMV.8469,ES,Vila Val�rio,Faixa 1,Rural,1030000,50,50,100,Caixa,POINT (-40.38491299999981 -18.995766)
MCMV.8470,ES,Vila Val�rio,Faixa 1,Rural,50400,4,4,100,Caixa,POINT (-40.38491299999981 -18.995766)
MCMV.8464,ES,Vila Pav�o,Faixa 1,Rural,144200,7,7,100,Caixa,POINT (-40.608992 -18.609086999999818)
MCMV.8541,RJ,Belford Roxo,Faixa 1,FAR,36652000,748,379,100,Caixa,POINT (-43.39921 -22.764042)
MCMV.8420,ES,S�o Mateus,Faixa 1,Rural,2100400,89,88,100,Caixa,POINT (-39.85793499999983 -18.72140699999983)
MCMV.8403,ES,S�o Gabriel da Palha,Faixa 1,Rural,1062000,45,45,100,Caixa,POINT (-40.536487 -19.01819)
MCMV.8404,ES,S�o Gabriel da Palha,Faixa 1,Rural,1497600,96,96,100,Caixa,POINT (-40.536487 -19.01819)
MCMV.8407,ES,S�o Jos� do Cal�ado,Faixa 1,Rural,185400,9,9,100,Caixa,POINT (-41.66362699999985 -21.027442)
MCMV.8383,ES,Ponto Belo,Faixa 1,Oferta Publica,390000,4,3,88,BANCO TRICURY,POINT (-40.54580099999981 -18.12532)
MCMV.8375,ES,Pinheiros,Faixa 1,Rural,519200,22,22,100,Caixa,POINT (-40.217142 -18.41407)
MCMV.8366,ES,Nova Ven�cia,Faixa 1,Oferta Publica,960000,60,57,100,BANCO TRICURY,POINT (-40.40527 -18.71502)
MCMV.8368,ES,Nova Ven�cia,Faixa 1,Rural,849600,36,36,100,Caixa,POINT (-40.40527 -18.71502)
MCMV.8348,ES,Montanha,Faixa 1,Oferta Publica,390000,12,12,71.3,BANCO TRICURY,POINT (-40.366781 -18.13028699999984)
MCMV.8350,ES,Montanha,Faixa 1,Rural,206000,10,10,100,Caixa,POINT (-40.366781 -18.13028699999984)
MCMV.8335,ES,Maril�ndia,Faixa 1,Oferta Publica,390000,14,14,92.5667,BANCO TRICURY,POINT (-40.545648 -19.411358)
MCMV.8324,ES,Linhares,Faixa 1,Rural,849600,36,36,100,Caixa,POINT (-40.06427699999989 -19.394641999999862)
MCMV.8290,ES,Itagua�u,Faixa 1,Rural,309000,14,14,100,Caixa,POINT (-40.860135 -19.801786)
MCMV.8274,ES,Fund�o,Faixa 1,Rural,61800,3,3,100,Caixa,POINT (-40.407758999999885 -19.937035)
MCMV.8275,ES,Governador Lindenberg,Faixa 1,Rural,947600,46,46,100,Caixa,POINT (-40.50002 -19.205895999999882)
MCMV.8266,ES,Ecoporanga,Faixa 1,Oferta Publica,960000,4,4,73.8667,BANCO TRICURY,POINT (-40.835976 -18.370231)
MCMV.8253,ES,Colatina,Faixa 1,FAR,11392800,303,303,100,Caixa,POINT (-40.62689799999981 -19.54932)
MCMV.8256,ES,Concei��o da Barra,Faixa 1,Oferta Publica,960000,31,31,88.8833,BANCO TRICURY,POINT (-39.73619899999983 -18.588305999999818)
MCMV.8214,ES,Boa Esperan�a,Faixa 1,Rural,309000,15,15,100,Caixa,POINT (-40.3025209999999 -18.539494999999818)
MCMV.8202,ES,Baixo Guandu,Faixa 1,Rural,236000,10,10,100,Caixa,POINT (-41.010913 -19.52128)
MCMV.8173,ES,Afonso Cl�udio,Faixa 1,Rural,188800,8,8,100,Caixa,POINT (-41.12606 -20.077840999999864)
MCMV.8174,ES,�guia Branca,Faixa 1,Rural,370800,18,18,100,Caixa,POINT (-40.74369 -18.98459)
MCMV.8156,MG,Vi�osa,Faixa 1,FAR,5015690,132,132,100,Caixa,POINT (-42.87416999999988 -20.755915999999786)
MCMV.8137,MG,Vermelho Novo,Faixa 1,Rural,189000,15,15,100,Caixa,POINT (-42.26879699999989 -20.04061799999988)
MCMV.8138,MG,Vermelho Novo,Faixa 1,Rural,252000,20,20,100,Caixa,POINT (-42.26879699999989 -20.04061799999988)
MCMV.8132,MG,Verdel�ndia,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-43.61213699999985 -15.584521999999879)
MCMV.8133,MG,Ver�ssimo,Faixa 1,Oferta Publica,390000,30,29,100,COHAB/MG,POINT (-48.31184499999989 -19.66574)
MCMV.8126,MG,Varzel�ndia,Faixa 1,Oferta Publica,325000,25,23,100,COHAB/MG,POINT (-44.02783899999986 -15.69915)
MCMV.8107,MG,Vargem Grande do Rio Pardo,Faixa 1,Oferta Publica,390000,30,20,100,COHAB/MG,POINT (-42.30851 -15.39874)
MCMV.8100,MG,Uruana de Minas,Faixa 1,Oferta Publica,390000,30,20,100,BANCO BONSUCESSO,POINT (-46.244306 -16.063383999999814)
MCMV.8087,MG,Umburatiba,Faixa 1,Oferta Publica,325000,25,16,100,BANCO BONSUCESSO,POINT (-40.57794 -17.2548)
MCMV.8043,MG,Uberl�ndia,Faixa 1,FAR,154907000,3902,3254,100,Caixa,POINT (-48.274934 -18.91414)
MCMV.8017,MG,Uberaba,Faixa 1,FAR,48509600,1225,1225,100,Caixa,POINT (-47.93807 -19.747205)
MCMV.7993,MG,Turmalina,Faixa 1,Oferta Publica,390000,30,22,100,COHAB/MG,POINT (-42.728476 -17.282824999999832)
MCMV.7984,MG,Tr�s Pontas,Faixa 1,FAR,2242000,59,59,100,Caixa,POINT (-45.51089 -21.36944)
MCMV.7972,MG,Tr�s Cora��es,Faixa 1,FAR,9234000,243,243,100,Caixa,POINT (-45.251117 -21.69209)
MCMV.7976,MG,Tr�s Marias,Faixa 1,Oferta Publica,480000,30,27,100,BANCO BONSUCESSO,POINT (-45.247289 -18.204795)
MCMV.7977,MG,Tr�s Marias,Faixa 1,Oferta Publica,240000,15,14,100,BANCO BONSUCESSO,POINT (-45.247289 -18.204795)
MCMV.7929,MG,Taiobeiras,Faixa 1,Oferta Publica,960000,60,39,100,COHAB/MG,POINT (-42.22594 -15.81062)
MCMV.7933,MG,Tapira,Faixa 1,Oferta Publica,390000,30,30,95,COHAB/MG,POINT (-46.8264 -19.916619)
MCMV.7915,MG,Silvian�polis,Faixa 1,Oferta Publica,390000,30,28,100,BANCO BONSUCESSO,POINT (-45.838517 -22.02741)
MCMV.7904,MG,Sete Lagoas,Faixa 1,FAR,16512600,377,377,100,Caixa,POINT (-44.241255 -19.456901999999843)
MCMV.7886,MG,Sericita,Faixa 1,Rural,163800,13,13,100,Caixa,POINT (-42.482776 -20.47484)
MCMV.7876,MG,Sarzedo,Faixa 1,FAR,4416000,96,96,100,Caixa,POINT (-44.1446 -20.036667)
MCMV.7853,MG,S�o Sebasti�o do Para�so,Faixa 1,FAR,3661220,97,97,100,Caixa,POINT (-46.98370299999988 -20.916734)
MCMV.7835,MG,S�o Rom�o,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-45.07489 -16.36412)
MCMV.7830,MG,S�o Louren�o,Faixa 1,Oferta Publica,960000,60,44,100,BANCO BONSUCESSO,POINT (-45.0506 -22.11659)
MCMV.7818,MG,S�o Jos� da Lapa,Faixa 1,FAR,6624000,144,141,100,Caixa,POINT (-43.95864 -19.697106)
MCMV.7823,MG,S�o Jos� do Jacuri,Faixa 1,Oferta Publica,364000,28,24,100,BANCO BONSUCESSO,POINT (-42.67293 -18.281037)
MCMV.7824,MG,S�o Jos� do Jacuri,Faixa 1,Oferta Publica,26000,2,2,100,BANCO BONSUCESSO,POINT (-42.67293 -18.281037)
MCMV.7792,MG,S�o Jo�o do Para�so,Faixa 1,Oferta Publica,480000,30,26,100,COHAB/MG,POINT (-42.021341999999834 -15.316799)
MCMV.7793,MG,S�o Jo�o do Para�so,Faixa 1,Oferta Publica,288000,18,5,100,COHAB/MG,POINT (-42.021341999999834 -15.316799)
MCMV.7746,MG,S�o Gon�alo do Abaet�,Faixa 1,Oferta Publica,390000,30,25,100,BANCO BONSUCESSO,POINT (-45.826475 -18.33147)
MCMV.7735,MG,S�o Francisco de Sales,Faixa 1,Oferta Publica,364000,28,20,100,BANCO BONSUCESSO,POINT (-49.77269299999989 -19.86112)
MCMV.7736,MG,S�o Francisco de Sales,Faixa 1,Oferta Publica,26000,2,2,100,BANCO BONSUCESSO,POINT (-49.77269299999989 -19.86112)
MCMV.7698,MG,Santa Vit�ria,Faixa 1,Oferta Publica,377000,29,22,100,COHAB/MG,POINT (-50.12076 -18.841398)
MCMV.7693,MG,Santa Rosa da Serra,Faixa 1,Rural,403159,33,33,100,Caixa,POINT (-45.96108 -19.51861)
MCMV.7681,MG,Santa Rita de Caldas,Faixa 1,Oferta Publica,390000,30,29,100,COHAB/MG,POINT (-46.3385 -22.029192)
MCMV.7663,MG,Santana da Vargem,Faixa 1,Rural,109200,7,7,100,Caixa,POINT (-45.50053 -21.244903)
MCMV.7643,MG,Santa Juliana,Faixa 1,Oferta Publica,390000,30,17,100,BANCO BONSUCESSO,POINT (-47.53225 -19.31077)
MCMV.7623,MG,Salto da Divisa,Faixa 1,Oferta Publica,390000,30,25,100,BANCO BONSUCESSO,POINT (-39.93909 -16.00632699999983)
MCMV.7617,MG,Salinas,Faixa 1,Oferta Publica,720000,45,31,100,COHAB/MG,POINT (-42.29640599999988 -16.175265)
MCMV.7618,MG,Salinas,Faixa 1,Oferta Publica,240000,15,13,100,COHAB/MG,POINT (-42.29640599999988 -16.175265)
MCMV.7600,MG,Rubim,Faixa 1,Oferta Publica,390000,30,24,100,COHAB/MG,POINT (-40.53971399999989 -16.377493999999842)
MCMV.7582,MG,Rio Pardo de Minas,Faixa 1,Oferta Publica,960000,60,55,100,COHAB/MG,POINT (-42.5405 -15.61603)
MCMV.7567,MG,Ribeir�o Vermelho,Faixa 1,Oferta Publica,390000,30,26,100,BANCO BONSUCESSO,POINT (-45.06367999999986 -21.187861)
MCMV.7569,MG,Rio do Prado,Faixa 1,Oferta Publica,390000,30,23,100,BANCO BONSUCESSO,POINT (-40.571370999999885 -16.60565)
MCMV.7551,MG,Ressaquinha,Faixa 1,Oferta Publica,312000,24,13,100,BANCO BONSUCESSO,POINT (-43.75983 -21.06419)
MCMV.7552,MG,Ressaquinha,Faixa 1,Oferta Publica,78000,6,5,100,BANCO BONSUCESSO,POINT (-43.75983 -21.06419)
MCMV.7538,MG,Recreio,Faixa 1,Oferta Publica,390000,30,28,100,BANCO BONSUCESSO,POINT (-42.46759999999989 -21.52889)
MCMV.7542,MG,Reduto,Faixa 1,Rural,88200,6,6,100,Caixa,POINT (-41.98483499999986 -20.24009)
MCMV.7523,MG,Alto Jequitib�,Faixa 1,Rural,302400,24,24,95.84,Caixa,POINT (-41.96699 -20.42084)
MCMV.7524,MG,Alto Jequitib�,Faixa 1,Rural,352800,25,25,100,Caixa,POINT (-41.96699 -20.42084)
MCMV.7513,MG,Presidente Kubitschek,Faixa 1,Oferta Publica,390000,30,26,100,COHAB/MG,POINT (-43.56277399999982 -18.619251999999847)
MCMV.7493,MG,Pouso Alto,Faixa 1,Oferta Publica,351000,27,18,100,COHAB/MG,POINT (-44.97481299999987 -22.196369999999888)
MCMV.7494,MG,Pouso Alto,Faixa 1,Oferta Publica,39000,3,3,100,COHAB/MG,POINT (-44.97481299999987 -22.196369999999888)
MCMV.7488,MG,Pouso Alegre,Faixa 1,FAR,9603980,253,252,100,Caixa,POINT (-45.938935 -22.22659)
MCMV.7478,MG,Porteirinha,Faixa 1,Oferta Publica,480000,30,25,100,COHAB/MG,POINT (-43.02809 -15.74042)
MCMV.7479,MG,Pot�,Faixa 1,Oferta Publica,273000,21,19,100,BANCO BONSUCESSO,POINT (-41.78604399999989 -17.8077)
MCMV.7480,MG,Pot�,Faixa 1,Oferta Publica,117000,9,8,100,BANCO BONSUCESSO,POINT (-41.78604399999989 -17.8077)
MCMV.7453,MG,Po�os de Caldas,Faixa 1,FAR,20999600,500,437,100,Caixa,POINT (-46.569184 -21.77997)
MCMV.7413,MG,Piranguinho,Faixa 1,Oferta Publica,351000,27,22,100,BANCO BONSUCESSO,POINT (-45.53240499999987 -22.394961)
MCMV.7414,MG,Piranguinho,Faixa 1,Oferta Publica,39000,3,3,100,BANCO BONSUCESSO,POINT (-45.53240499999987 -22.394961)
MCMV.7384,MG,Perdizes,Faixa 1,Oferta Publica,390000,30,29,100,COHAB/MG,POINT (-47.2963 -19.34338)
MCMV.7362,MG,Pedrin�polis,Faixa 1,Oferta Publica,390000,30,21,100,COHAB/MG,POINT (-47.45789 -19.224098)
MCMV.7349,MG,Pedra Bonita,Faixa 1,Rural,239400,19,19,100,Caixa,POINT (-42.3304389999999 -20.5218789999999)
MCMV.7350,MG,Pedra Bonita,Faixa 1,Rural,264600,21,21,100,Caixa,POINT (-42.3304389999999 -20.5218789999999)
MCMV.7333,MG,Patroc�nio,Faixa 1,FAR,33649800,867,453,100,Caixa,POINT (-46.99342 -18.93787)
MCMV.7317,MG,Passos,Faixa 1,FAR,19570600,501,501,100,Caixa,POINT (-46.609008 -20.71927099999982)
MCMV.7302,MG,Paraopeba,Faixa 1,Oferta Publica,960000,60,50,100,COHAB/MG,POINT (-44.40437 -19.273192)
MCMV.7288,MG,Par� de Minas,Faixa 1,FAR,20303800,484,484,100,Caixa,POINT (-44.61135 -19.85344)
MCMV.7269,MG,Pains,Faixa 1,Oferta Publica,390000,30,29,100,BANCO BONSUCESSO,POINT (-45.662685 -20.370467)
MCMV.7250,MG,Oriz�nia,Faixa 1,Rural,214200,17,17,100,Caixa,POINT (-42.19912399999987 -20.514161999999885)
MCMV.7222,MG,Nova Ponte,Faixa 1,Oferta Publica,299000,23,21,100,COHAB/MG,POINT (-47.677947 -19.1461)
MCMV.7223,MG,Nova Ponte,Faixa 1,Oferta Publica,91000,7,7,100,COHAB/MG,POINT (-47.677947 -19.1461)
MCMV.7198,MG,Natal�ndia,Faixa 1,Entidades,2600000,130,130,100,Caixa,POINT (-46.48736499999984 -16.50215)
MCMV.7202,MG,Nat�rcia,Faixa 1,Oferta Publica,390000,30,30,100,COHAB/MG,POINT (-45.512284 -22.11575)
MCMV.7193,MG,Nanuque,Faixa 1,Oferta Publica,784000,49,44,100,BANCO BONSUCESSO,POINT (-40.353287 -17.84811)
MCMV.7194,MG,Nanuque,Faixa 1,Oferta Publica,176000,11,10,100,BANCO BONSUCESSO,POINT (-40.353287 -17.84811)
MCMV.7187,MG,Muzambinho,Faixa 1,Rural,468000,30,30,100,Caixa,POINT (-46.521299999999826 -21.36915)
MCMV.7182,MG,Mutum,Faixa 1,Oferta Publica,960000,60,28,100,BANCO BONSUCESSO,POINT (-41.44068899999985 -19.8121)
MCMV.7176,MG,Muria�,Faixa 1,FAR,12768000,304,304,100,Caixa,POINT (-42.369303999999886 -21.12996)
MCMV.7162,MG,Montezuma,Faixa 1,Oferta Publica,390000,30,25,100,COHAB/MG,POINT (-42.4940739999999 -15.170233)
MCMV.7167,MG,Morro da Gar�a,Faixa 1,Oferta Publica,377000,29,20,100,BANCO BONSUCESSO,POINT (-44.601042999999834 -18.53559)
MCMV.7168,MG,Morro da Gar�a,Faixa 1,Oferta Publica,13000,1,1,100,BANCO BONSUCESSO,POINT (-44.601042999999834 -18.53559)
MCMV.7148,MG,Montes Claros,Faixa 1,FAR,18848000,496,493,100,Caixa,POINT (-43.85781 -16.72817699999979)
MCMV.7130,MG,Monte Carmelo,Faixa 1,Oferta Publica,960000,60,48,100,BANCO BONSUCESSO,POINT (-47.49123 -18.73024)
MCMV.7137,MG,Monte Santo de Minas,Faixa 1,Oferta Publica,960000,60,59,100,COHAB/MG,POINT (-46.97531 -21.18731)
MCMV.7114,MG,Monte Alegre de Minas,Faixa 1,Oferta Publica,299000,23,16,100,COHAB/MG,POINT (-48.88102 -18.86905)
MCMV.7115,MG,Monte Alegre de Minas,Faixa 1,Oferta Publica,91000,7,7,100,COHAB/MG,POINT (-48.88102 -18.86905)
MCMV.7073,MG,Matozinhos,Faixa 1,FAR,9493740,208,208,100,Caixa,POINT (-44.08679 -19.554317999999853)
MCMV.7062,MG,Matias Cardoso,Faixa 1,Oferta Publica,377000,29,20,100,BANCO BONSUCESSO,POINT (-43.91456 -14.8563)
MCMV.7063,MG,Matias Cardoso,Faixa 1,Oferta Publica,13000,1,1,100,BANCO BONSUCESSO,POINT (-43.91456 -14.8563)
MCMV.7048,MG,Mata Verde,Faixa 1,Oferta Publica,390000,30,20,100,COHAB/MG,POINT (-40.736559 -15.686916999999823)
MCMV.7042,MG,Martinho Campos,Faixa 1,Oferta Publica,390000,30,14,100,COHAB/MG,POINT (-45.24341 -19.330573)
MCMV.7045,MG,Martins Soares,Faixa 1,Rural,100800,8,8,100,Caixa,POINT (-41.87859 -20.254562)
MCMV.7011,MG,Manhumirim,Faixa 1,Rural,546000,34,34,100,Caixa,POINT (-41.958933 -20.35912)
MCMV.6997,MG,Malacacheta,Faixa 1,Oferta Publica,234000,18,15,100,BANCO BONSUCESSO,POINT (-42.076906999999835 -17.84565)
MCMV.6998,MG,Malacacheta,Faixa 1,Oferta Publica,156000,12,9,100,BANCO BONSUCESSO,POINT (-42.076906999999835 -17.84565)
MCMV.7000,MG,Manga,Faixa 1,Oferta Publica,960000,60,50,100,COHAB/MG,POINT (-43.93905 -14.75289)
MCMV.6986,MG,Luz,Faixa 1,Oferta Publica,390000,30,27,100,BANCO BONSUCESSO,POINT (-45.67944399999982 -19.79108499999984)
MCMV.6978,MG,Luisburgo,Faixa 1,Rural,604800,48,48,100,Caixa,POINT (-42.09764 -20.44675)
MCMV.6961,MG,Lavras,Faixa 1,FAR,10629200,305,305,100,Caixa,POINT (-45.00094899999982 -21.248)
MCMV.6962,MG,Leandro Ferreira,Faixa 1,Oferta Publica,390000,30,27,100,BANCO BONSUCESSO,POINT (-45.02785 -19.71931)
MCMV.6947,MG,Lambari,Faixa 1,Oferta Publica,390000,30,23,100,BANCO BONSUCESSO,POINT (-45.349822 -21.967088)
MCMV.6931,MG,Lagoa Grande,Faixa 1,Oferta Publica,390000,30,30,100,COHAB/MG,POINT (-46.516519 -17.832265)
MCMV.6911,MG,Lagamar,Faixa 1,Oferta Publica,390000,30,28,100,COHAB/MG,POINT (-46.80634 -18.17592)
MCMV.6902,MG,Juramento,Faixa 1,Oferta Publica,117000,9,8,100,BANCO BONSUCESSO,POINT (-43.58646 -16.84732)
