clearance_status,council_district_code,description,district,latitude,longitude,clearance_days
0,0,0,0,30.4223367633994,-97.75516174888946,52
6,6,6,0,30.4223367633994,-97.75516174888946,45
0,12,0,0,30.426691,-97.77719,6
0,0,6,0,30.4223367633994,-97.75516174888946,1
12,6,0,0,30.499098,-97.77256,28
0,6,12,0,30.460476,-97.819473,395
0,6,18,0,30.434138,-97.782883,4
0,6,0,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.412351,-97.707908,1
0,0,24,0,30.4223367633994,-97.75516174888946,22
0,6,30,0,30.40921,-97.744708,1
0,6,0,0,30.4223367633994,-97.75516174888946,193
0,6,30,0,30.4223367633994,-97.75516174888946,3
0,6,0,0,30.431433,-97.747264,5
6,6,6,0,30.471859,-97.802777,2
6,6,6,0,30.4223367633994,-97.75516174888946,1
0,6,0,0,30.435964,-97.733857,3
6,6,30,0,30.4223367633994,-97.75516174888946,6
0,12,30,0,30.4223367633994,-97.75516174888946,15
0,6,0,0,30.4223367633994,-97.75516174888946,2
6,6,6,0,30.471859,-97.802777,2
0,0,30,0,30.4223367633994,-97.75516174888946,4
6,0,36,0,30.4223367633994,-97.75516174888946,3
0,6,0,0,30.4223367633994,-97.75516174888946,4
0,0,30,0,30.399901,-97.73483,1
0,6,30,0,30.430803,-97.841994,3
0,6,30,0,30.4223367633994,-97.75516174888946,395
0,6,12,0,30.435491,-97.730853,395
6,0,6,0,30.400361,-97.725795,5
0,6,42,0,30.45385,-97.789903,11
0,0,12,0,30.423268,-97.68323,395
0,0,12,0,30.419389,-97.721992,395
0,6,0,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.404887,-97.712002,4
6,12,6,0,30.39855,-97.74648,53
0,0,30,0,30.399901,-97.73483,1
0,0,30,0,30.424965,-97.714311,9
0,6,0,0,30.4223367633994,-97.75516174888946,7
0,6,12,0,30.450448,-97.811841,395
0,0,24,0,30.4223367633994,-97.75516174888946,40
6,6,6,0,30.487454,-97.773049,9
6,0,12,0,30.401737,-97.726298,395
0,6,30,0,30.4223367633994,-97.75516174888946,3
0,6,48,0,30.412538,-97.849529,4
0,12,0,0,30.421877,-97.764862,154
6,6,6,0,30.479807,-97.796691,39
0,0,30,0,30.374867,-97.731149,1
0,6,30,0,30.4223367633994,-97.75516174888946,4
0,6,0,0,30.4223367633994,-97.75516174888946,88
0,0,24,0,30.402081,-97.74528,395
0,6,30,0,30.4223367633994,-97.75516174888946,6
0,6,30,0,30.445993,-97.779312,3
0,6,54,0,30.4223367633994,-97.75516174888946,4
6,6,60,0,30.448397,-97.811731,4
0,0,66,0,30.4223367633994,-97.75516174888946,56
0,6,54,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.392622,-97.745915,78
12,12,72,0,30.40316,-97.753727,18
0,6,30,0,30.4223367633994,-97.75516174888946,3
0,0,12,0,30.4223367633994,-97.75516174888946,8
0,6,0,0,30.4223367633994,-97.75516174888946,48
6,6,0,0,30.429418,-97.813248,1
0,6,12,0,30.4223367633994,-97.75516174888946,2
0,6,0,0,30.4223367633994,-97.75516174888946,67
0,6,0,0,30.432375,-97.828325,3
0,12,78,0,30.426765,-97.75861,21
0,6,30,0,30.436913,-97.761879,2
0,6,6,0,30.4223367633994,-97.75516174888946,13
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,0,12,0,30.4223367633994,-97.75516174888946,2
0,0,84,0,30.429652,-97.696711,1
0,6,84,0,30.436723,-97.747784,54
0,0,30,0,30.4223367633994,-97.75516174888946,2
0,6,0,0,30.4223367633994,-97.75516174888946,4
0,0,30,0,30.4223367633994,-97.75516174888946,5
0,12,30,0,30.4223367633994,-97.75516174888946,1
0,6,12,0,30.4223367633994,-97.75516174888946,1
0,0,30,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.388501,-97.722734,3
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,6,90,0,30.45846,-97.79016,40
6,6,6,0,30.405304,-97.853216,6
0,6,6,0,30.4223367633994,-97.75516174888946,1
0,0,48,0,30.4223367633994,-97.75516174888946,2
0,6,0,0,30.4223367633994,-97.75516174888946,63
0,0,0,0,30.4223367633994,-97.75516174888946,48
0,6,0,0,30.467694,-97.809861,39
0,6,18,0,30.4223367633994,-97.75516174888946,395
0,6,30,0,30.436422,-97.775805,4
6,12,6,0,30.39855,-97.74648,3
0,12,30,0,30.4223367633994,-97.75516174888946,4
0,0,0,0,30.4223367633994,-97.75516174888946,82
0,0,30,0,30.427247,-97.680175,2
0,6,0,0,30.438227,-97.769095,7
0,0,30,0,30.392147,-97.733029,4
12,0,24,0,30.382966,-97.730894,395
12,6,42,0,30.498698,-97.775867,38
0,0,0,0,30.374718,-97.728832,1
0,0,6,0,30.4223367633994,-97.75516174888946,4
6,6,6,0,30.471859,-97.802777,4
0,0,6,0,30.4223367633994,-97.75516174888946,91
0,6,0,0,30.471859,-97.802777,8
0,12,18,0,30.39829,-97.761681,3
6,6,96,0,30.4223367633994,-97.75516174888946,3
0,0,18,0,30.409655,-97.699274,5
0,6,0,0,30.4223367633994,-97.75516174888946,32
18,0,30,0,30.401505,-97.704564,395
0,0,12,0,30.398717,-97.720832,395
0,12,0,0,30.4223367633994,-97.75516174888946,8
0,0,30,0,30.4223367633994,-97.75516174888946,5
0,12,30,0,30.372298,-97.786842,1
12,0,90,0,30.402081,-97.74528,8
0,12,30,0,30.392352,-97.746845,1
0,12,30,0,30.418073,-97.747101,2
0,12,78,0,30.39855,-97.74648,395
0,6,24,0,30.413056,-97.74345,395
18,6,6,0,30.4223367633994,-97.75516174888946,395
0,12,30,0,30.416418,-97.746789,395
6,6,24,0,30.4223367633994,-97.75516174888946,115
0,6,102,0,30.4223367633994,-97.75516174888946,29
0,6,78,0,30.471859,-97.802777,4
0,6,30,0,30.414111,-97.848717,8
0,0,30,0,30.411555,-97.69205,2
6,6,12,0,30.4223367633994,-97.75516174888946,2
18,6,6,0,30.4223367633994,-97.75516174888946,395
0,0,0,0,30.4223367633994,-97.75516174888946,32
0,6,24,0,30.4223367633994,-97.75516174888946,15
0,6,30,0,30.4223367633994,-97.75516174888946,29
0,0,0,0,30.390523,-97.742231,2
6,6,6,0,30.471859,-97.802777,9
6,6,6,0,30.471859,-97.802777,6
0,6,0,0,30.4223367633994,-97.75516174888946,9
0,0,0,0,30.4223367633994,-97.75516174888946,5
0,12,0,0,30.4223367633994,-97.75516174888946,133
6,0,6,0,30.403653,-97.724692,14
0,12,12,0,30.417099,-97.791249,395
0,0,54,0,30.435208,-97.697784,6
0,6,0,0,30.448163,-97.780251,126
0,6,6,0,30.4223367633994,-97.75516174888946,2
6,6,108,0,30.492639,-97.765813,56
0,0,0,0,30.4223367633994,-97.75516174888946,70
0,6,30,0,30.4223367633994,-97.75516174888946,3
6,6,6,0,30.4223367633994,-97.75516174888946,6
0,0,6,0,30.388607,-97.743702,1
0,0,30,0,30.420586,-97.726674,2
0,6,30,0,30.4223367633994,-97.75516174888946,395
0,0,30,0,30.420275,-97.729254,10
0,6,0,0,30.4223367633994,-97.75516174888946,1
0,6,0,0,30.4223367633994,-97.75516174888946,93
0,6,30,0,30.407454,-97.739916,1
0,6,0,0,30.4223367633994,-97.75516174888946,23
0,12,12,0,30.4223367633994,-97.75516174888946,3
0,6,0,0,30.458342,-97.7972,4
0,0,30,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.4223367633994,-97.75516174888946,7
6,0,72,0,30.426879,-97.713462,5
0,12,0,0,30.4223367633994,-97.75516174888946,6
0,0,66,0,30.4223367633994,-97.75516174888946,6
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,6,30,0,30.4223367633994,-97.75516174888946,1
6,6,6,0,30.479807,-97.796691,10
0,6,114,0,30.4223367633994,-97.75516174888946,11
6,6,6,0,30.471859,-97.802777,1
0,6,30,0,30.4223367633994,-97.75516174888946,395
0,6,30,0,30.467614,-97.804585,7
6,12,0,0,30.427869,-97.757481,15
0,6,0,0,30.4223367633994,-97.75516174888946,7
12,6,0,0,30.491604,-97.767326,96
12,0,24,0,30.38193,-97.728694,395
0,0,0,0,30.375621,-97.725856,1
0,0,30,0,30.4223367633994,-97.75516174888946,2
0,6,24,0,30.443015,-97.781849,395
0,12,0,0,30.427869,-97.757481,7
0,6,30,0,30.4223367633994,-97.75516174888946,3
0,0,30,0,30.4223367633994,-97.75516174888946,1
0,12,12,0,30.4223367633994,-97.75516174888946,8
0,0,0,0,30.4223367633994,-97.75516174888946,110
0,6,0,0,30.46049,-97.798911,7
0,0,30,0,30.4223367633994,-97.75516174888946,7
0,0,30,0,30.4223367633994,-97.75516174888946,3
0,0,30,0,30.401425,-97.742443,12
0,0,18,0,30.390347,-97.736328,54
0,6,30,0,30.511178,-97.75281,2
6,0,6,0,30.4223367633994,-97.75516174888946,53
0,0,30,0,30.399901,-97.73483,7
0,12,30,0,30.4223367633994,-97.75516174888946,3
6,6,6,0,30.4223367633994,-97.75516174888946,9
0,6,54,0,30.475586,-97.809847,1
6,0,6,0,30.400361,-97.725795,2
6,6,6,0,30.4223367633994,-97.75516174888946,2
0,0,30,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.4223367633994,-97.75516174888946,11
0,6,18,0,30.471859,-97.802777,2
0,6,0,0,30.4223367633994,-97.75516174888946,75
0,12,30,0,30.428002,-97.773103,2
6,6,0,0,30.4223367633994,-97.75516174888946,3
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,6,0,0,30.440367,-97.74502,3
6,6,6,0,30.4223367633994,-97.75516174888946,1
0,6,30,0,30.4223367633994,-97.75516174888946,2
0,0,0,0,30.4223367633994,-97.75516174888946,198
0,6,24,0,30.4223367633994,-97.75516174888946,58
0,6,30,0,30.4223367633994,-97.75516174888946,4
0,0,120,0,30.392622,-97.745915,2
18,6,6,0,30.454948,-97.826276,395
0,6,0,0,30.472422,-97.800309,117
0,0,54,0,30.411879,-97.698244,30
0,0,0,0,30.403807,-97.745117,1
0,6,6,0,30.4223367633994,-97.75516174888946,34
12,0,12,0,30.425625,-97.698853,395
0,6,54,0,30.4223367633994,-97.75516174888946,1
0,0,6,0,30.4223367633994,-97.75516174888946,5
0,6,12,0,30.441144,-97.766416,395
0,0,0,0,30.4223367633994,-97.75516174888946,21
0,0,0,0,30.390347,-97.736328,3
0,6,30,0,30.494053,-97.784975,2
0,0,30,0,30.397502,-97.705021,9
0,0,30,0,30.4223367633994,-97.75516174888946,4
0,6,24,0,30.4223367633994,-97.75516174888946,8
0,6,30,0,30.467614,-97.804585,6
0,12,30,0,30.392352,-97.746845,4
0,6,12,0,30.452062,-97.774476,395
0,6,30,0,30.437856,-97.831233,1
0,6,6,0,30.4223367633994,-97.75516174888946,2
0,0,66,0,30.431223,-97.713549,9
0,0,30,0,30.390735,-97.738704,2
0,0,30,0,30.373014,-97.725165,16
0,6,30,0,30.494856,-97.760738,3
0,6,30,0,30.430803,-97.841994,2
0,12,78,0,30.426154,-97.758149,2
0,0,30,0,30.390581,-97.739148,3
0,6,0,0,30.4223367633994,-97.75516174888946,182
0,6,126,0,30.430622,-97.81344,395
0,6,12,0,30.44648,-97.767641,395
0,6,24,0,30.48129,-97.767986,395
0,0,30,0,30.384281,-97.737567,8
0,0,84,0,30.4223367633994,-97.75516174888946,2
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,0,30,0,30.374718,-97.728832,2
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,12,30,0,30.4223367633994,-97.75516174888946,1
0,6,30,0,30.4223367633994,-97.75516174888946,11
0,6,30,0,30.4223367633994,-97.75516174888946,395
0,0,24,0,30.4223367633994,-97.75516174888946,4
18,6,0,0,30.419801,-97.845829,395
0,0,0,0,30.412264,-97.69664,3
0,12,30,0,30.394225,-97.748273,6
0,0,30,0,30.4223367633994,-97.75516174888946,1
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,0,0,0,30.4223367633994,-97.75516174888946,78
0,12,0,0,30.4223367633994,-97.75516174888946,9
6,6,6,0,30.4223367633994,-97.75516174888946,1
12,12,12,0,30.4223367633994,-97.75516174888946,137
0,12,0,0,30.4223367633994,-97.75516174888946,4
0,6,0,0,30.4223367633994,-97.75516174888946,4
0,12,30,0,30.413622,-97.746274,1
0,0,72,0,30.426879,-97.713462,15
0,6,0,0,30.471859,-97.802777,3
0,6,0,0,30.4223367633994,-97.75516174888946,395
0,0,6,0,30.392622,-97.745915,168
0,12,30,0,30.4223367633994,-97.75516174888946,2
6,6,6,0,30.4223367633994,-97.75516174888946,4
6,6,6,0,30.454948,-97.826276,134
0,0,132,0,30.426879,-97.713462,98
0,6,30,0,30.415495,-97.74577,1
18,12,0,0,30.397406,-97.746596,395
6,6,6,0,30.4223367633994,-97.75516174888946,7
0,6,54,0,30.4223367633994,-97.75516174888946,111
0,6,0,0,30.475586,-97.809847,51
0,6,6,0,30.4223367633994,-97.75516174888946,174
0,0,30,0,30.417134,-97.691792,1
0,6,30,0,30.4223367633994,-97.75516174888946,5
0,6,0,0,30.4223367633994,-97.75516174888946,2
12,0,12,0,30.4223367633994,-97.75516174888946,154
0,0,138,0,30.4223367633994,-97.75516174888946,18
0,6,30,0,30.4223367633994,-97.75516174888946,1
6,6,54,0,30.42579,-97.843704,77
6,6,144,0,30.454948,-97.826276,50
18,6,0,0,30.438227,-97.769095,395
6,6,6,0,30.471859,-97.802777,5
0,0,150,0,30.425118,-97.692955,395
0,0,0,0,30.4223367633994,-97.75516174888946,10
0,12,0,0,30.429465,-97.778296,50
0,0,6,0,30.4223367633994,-97.75516174888946,3
0,6,0,0,30.4223367633994,-97.75516174888946,5
0,12,6,0,30.401922,-97.746122,3
0,0,18,0,30.392461,-97.739594,3
0,0,30,0,30.4223367633994,-97.75516174888946,7
0,6,0,0,30.4223367633994,-97.75516174888946,11
0,0,30,0,30.407462,-97.718098,2
0,6,0,0,30.480661,-97.766498,3
0,12,30,0,30.4223367633994,-97.75516174888946,395
0,6,0,0,30.441904,-97.741455,4
6,6,6,0,30.4223367633994,-97.75516174888946,2
6,0,6,0,30.4223367633994,-97.75516174888946,240
0,0,0,0,30.4223367633994,-97.75516174888946,1
6,6,6,0,30.454948,-97.826276,2
6,12,6,0,30.4223367633994,-97.75516174888946,7
0,6,0,0,30.475586,-97.809847,10
6,0,36,0,30.4223367633994,-97.75516174888946,3
0,6,66,0,30.4223367633994,-97.75516174888946,4
0,12,30,0,30.393285,-97.749746,1
0,6,0,0,30.441784,-97.747735,124
0,12,30,0,30.427869,-97.757481,395
0,12,120,0,30.401922,-97.746122,7
0,6,18,0,30.4223367633994,-97.75516174888946,5
0,6,0,0,30.470436,-97.802075,224
0,12,30,0,30.4223367633994,-97.75516174888946,6
6,0,12,0,30.4223367633994,-97.75516174888946,395
0,6,150,0,30.429974,-97.813073,1
0,0,30,0,30.4223367633994,-97.75516174888946,5
0,0,6,0,30.392622,-97.745915,58
6,0,156,0,30.431552,-97.718253,37
6,12,0,0,30.401922,-97.746122,71
0,0,30,0,30.422979,-97.697781,2
0,6,30,0,30.418624,-97.744366,4
12,0,6,0,30.4223367633994,-97.75516174888946,48
6,6,6,0,30.471859,-97.802777,5
0,6,24,0,30.4223367633994,-97.75516174888946,49
0,12,30,0,30.391914,-97.804175,2
0,0,30,0,30.4223367633994,-97.75516174888946,9
0,6,30,0,30.4223367633994,-97.75516174888946,1
0,12,30,0,30.423491,-97.749059,1
