address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
1701 BRIARCLIFF BLVD Austin TX 78723,21.06,2015-04-24 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,1701 BRIARCLIFF BLVD,-97.700502411477,Theft,2015-04-20 00:00:00,20151101244.0,3129878.0,10087702.0,2015.0,78723.0
3002 LAKESIDE DR Austin TX 78723,21.13,2015-12-15 00:00:00,Not cleared,1.0,BURG NON RESIDENCE SHEDS,I,30.32936427457502,,3002 LAKESIDE DR,-97.700502411477,Burglary,2015-07-20 00:00:00,20152011489.0,3136148.0,10087372.0,2015.0,78723.0
6911 N IH 35 SVRD NB Austin TX 78752,18.12,2015-01-26 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,I,30.32936427457502,,6911 N IH 35 SVRD NB,-97.700502411477,Burglary,2015-01-17 00:00:00,20155002232.0,3125727.0,10093477.0,2015.0,78752.0
1030 NORWOOD PARK BLVD Austin TX 78753,18.13,,,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,1030 NORWOOD PARK BLVD,-97.700502411477,Theft,2015-12-17 00:00:00,20153510870.0,3129997.0,10096983.0,2015.0,78753.0
(30.3242 -97.696312),18.12,2014-09-11 00:00:00,Not cleared,4.0,THEFT,I,30.3242,(30.3242-97.696312),1130 CAMINO LA COSTA,-97.696312,Theft: All Other Larceny,2014-09-10 00:00:00,20145040255.0,3128466.0,10091671.0,2014.0,78752.0
Austin TX 78723,21.05,2014-03-28 00:00:00,Not cleared,1.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,6021 N IH 35 SVRD NB,-97.700502411477,Theft: Shoplifting,2014-03-28 00:00:00,20145013865.0,3125350.0,10090396.0,2014.0,78723.0
6008 N LAMAR BLVD Austin TX 78757,15.05,2015-08-24 00:00:00,Not cleared,7.0,BURGLARY OF VEHICLE,I,30.32936427457502,,6008 N LAMAR BLVD,-97.700502411477,Theft,2015-07-27 00:00:00,20155032702.0,3119198.0,10093141.0,2015.0,78757.0
Austin TX 78752,18.12,2014-01-20 00:00:00,Not cleared,4.0,THEFT,I,30.32936427457502,,6607 N IH 35 SVRD NB,-97.700502411477,Theft: All Other Larceny,2014-01-18 00:00:00,20145002732.0,3126007.0,10092697.0,2014.0,78752.0
7105 N IH 35 SVRD NB Austin TX 78752,18.12,2015-12-02 00:00:00,Cleared by Arrest,4.0,AGG ASSAULT,I,30.32936427457502,,7105 N IH 35 SVRD NB,-97.700502411477,Agg Assault,2015-11-26 00:00:00,20153300792.0,3126122.0,10094299.0,2015.0,78752.0
7700 RUTGERS AVE Austin TX 78757,15.04,2015-09-17 00:00:00,Not cleared,7.0,THEFT,I,30.32936427457502,,7700 RUTGERS AVE,-97.700502411477,Theft,2015-09-10 00:00:00,20152530663.0,3118547.0,10100822.0,2015.0,78757.0
(30.334065 -97.706787),18.04,2014-12-03 00:00:00,Not cleared,4.0,THEFT OF LICENSE PLATE,I,30.334065,(30.334065-97.706787),500 E ST JOHNS AVE,-97.706787,Theft: All Other Larceny,2014-11-30 00:00:00,20145052687.0,3125225.0,10095176.0,2014.0,78752.0
(30.351644 -97.718634),18.18,2014-04-11 00:00:00,Not cleared,7.0,AUTO THEFT,I,30.351644,(30.351644-97.718634),7912 TISDALE DR,-97.718634,Auto Theft,2014-04-09 00:00:00,2014990543.0,3121207.0,10101448.0,2014.0,78757.0
(30.313939 -97.699518),21.04,2014-02-17 00:00:00,Not cleared,4.0,BURG NON RESIDENCE SHEDS,I,30.313939,(30.313939-97.699518),1400 RIDGEHAVEN DR,-97.699518,"Burglary / ",,,,,,
2921 PECAN SPRINGS RD Austin TX 78723,21.07,2015-12-08 00:00:00,Not cleared,1.0,THEFT,I,30.32936427457502,,2921 PECAN SPRINGS RD,-97.700502411477,Theft,2015-11-22 00:00:00,20155051444.0,3132798.0,10082754.0,2015.0,78723.0
(30.319154 -97.703544),21.05,2014-10-01 00:00:00,Not cleared,1.0,THEFT,I,30.319154,(30.319154-97.703544),1034 CLAYTON LN,-97.703544,Theft: All Other Larceny,2014-09-20 00:00:00,20142630532.0,3126342.0,10089763.0,2014.0,78723.0
7110 GRAND CANYON DR Austin TX 78752,18.12,2015-02-26 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,I,30.32936427457502,,7110 GRAND CANYON DR,-97.700502411477,Burglary,2015-02-15 00:00:00,2015460131.0,3129011.0,10092897.0,2015.0,78752.0
Austin TX 78723,21.06,2014-10-05 00:00:00,Not cleared,1.0,AGG ASSAULT,I,30.32936427457502,,NORTH HAMPTON DR / WHELESS LN,-97.700502411477,Aggravated Assault,2014-09-24 00:00:00,20142671245.0,3132089.0,10087051.0,2014.0,78723.0
(30.312835 -97.677435),21.12,2014-12-08 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,I,30.312835,(30.312835-97.677435),2707 NORTHEAST DR,-97.677435,Theft: BOV,2014-11-04 00:00:00,20145048875.0,3134514.0,10087483.0,2014.0,78723.0
(30.336385 -97.707221),18.04,2014-11-04 00:00:00,Not cleared,4.0,THEFT OF BICYCLE,I,30.336385,(30.336385-97.707221),300 E CROSLIN ST,-97.707221,Theft: All Other Larceny,2014-10-31 00:00:00,20145048370.0,3124992.0,10095922.0,2014.0,78752.0
1122 E 51ST ST Austin TX 78723,21.05,2015-09-25 00:00:00,Not cleared,4.0,BURGLARY NON RESIDENCE,I,30.32936427457502,,1122 E 51ST ST,-97.700502411477,Burglary,2015-09-14 00:00:00,20152570440.0,3124800.0,10085902.0,2015.0,78723.0
1030 NORWOOD PARK BLVD Austin TX 78753,18.13,2015-08-03 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.32936427457502,,1030 NORWOOD PARK BLVD,-97.700502411477,Theft,2015-08-03 00:00:00,20152151485.0,3129997.0,10096983.0,2015.0,78753.0
